Component Name,Normalized Name,Nanotek Price,Nanotek Status,Nanotek URL
NM-SD2 Phillips PH2 screwdriver,nmsd2phillipsph2screwdriver,6000.0,In Stock,https://www.nanotek.lk/product/nm-sd2-phillips-ph2-screwdriver
UGREEN DP TO HDMI 4K BRAIDED CABLE 3M - 35843,ugreendptohdmi4kbraidedcable3m35843,4500.0,Out of Stock,https://www.nanotek.lk/product/ugreen-dp-to-hdmi-4k-braided-cable-3m-35843
UGREEN USB C TO C THUNDERBOLT 5 CABLE 5A 240W 1M CABLE - 45996,ugreenusbctocthunderbolt5cable5a240w1mcable45996,12500.0,Out of Stock,https://www.nanotek.lk/product/ugreen-usb-c-to-c-thunderbolt-5-cable-5a-240w-1m-cable-45996
UGREEN CM512 6-IN-1 USB-C HUB HDMI 4K & 100W PD CHARGING - 15598,ugreencm5126in1usbchubhdmi4k100wpdcharging15598,9500.0,In Stock,https://www.nanotek.lk/product/ugreen-cm512-6-in-1-usb-c-hub-hdmi-4k-100w-pd-charging-15598
UGREEN CM219 4-Port USB 3.0 Hub -  25851,ugreencm2194portusb30hub25851,3500.0,Out of Stock,https://www.nanotek.lk/product/ugreen-cm219-4-port-usb-30-hub-25851
UGREEN MM137 DisplayPort to HDMI Female Converter 1080P - 40362,ugreenmm137displayporttohdmifemaleconverter1080p40362,2500.0,In Stock,https://www.nanotek.lk/product/ugreen-mm137-displayport-to-hdmi-female-converter-1080p-40362
UGREEN MM139 USB Type C to DP Cable 1.5m  - 50994,ugreenmm139usbtypectodpcable15m50994,4500.0,Out of Stock,https://www.nanotek.lk/product/ugreen-mm139-usb-type-c-to-dp-cable-15m-50994
UGREEN REVODOCK PRO 10-IN-1 USB-C HUB DUAL DISPLAY 4K & 100W PD CHARGING - 15534,ugreenrevodockpro10in1usbchubdualdisplay4k100wpdcharging15534,13500.0,Out of Stock,https://www.nanotek.lk/product/ugreen-revodock-pro-10-in-1-usb-c-hub-dual-display-4k-100w-pd-charging-15534
UGREEN 4K 2.0 HDMI NYLON BRAIDED CABLE 5M - 40103,ugreen4k20hdminylonbraidedcable5m40103,4500.0,Out of Stock,https://www.nanotek.lk/product/ugreen-4k-20-hdmi-nylon-braided-cable-5m-40103
UGREEN MM142 USB-C to HDMI Aluminum Shell 1.5m - 50570,ugreenmm142usbctohdmialuminumshell15m50570,5500.0,Out of Stock,https://www.nanotek.lk/product/ugreen-mm142-usb-c-to-hdmi-aluminum-shell-15m-50570
UGREEN 8K HDMI 2.1 Cable Male to Male Braided 2m - 40180,ugreen8khdmi21cablemaletomalebraided2m40180,4500.0,Out of Stock,https://www.nanotek.lk/product/ugreen-8k-hdmi-21-cable-male-to-male-braided-2m-40180-1
UGREEN NYLON BRAIDED HDMI CABLE 3M - 40411,ugreennylonbraidedhdmicable3m40411,2500.0,Out of Stock,https://www.nanotek.lk/product/ugreen-nylon-braided-hdmi-cable-3m-40411
UGREEN DP102 MALE TO MALE DISPLAY PORT CABLE 1.5M - 10245,ugreendp102maletomaledisplayportcable15m10245,1500.0,In Stock,https://www.nanotek.lk/product/ugreen-dp102-male-to-male-display-port-cable-15m-10245
UGREEN HDMI 2.0 4K Cable 3m - 25300,ugreenhdmi204kcable3m25300,3500.0,In Stock,https://www.nanotek.lk/product/ugreen-hdmi-20-4k-cable-3m-25300
UGREEN 1.4 DISPLAYPORT ZINC ALLOY SHELL BRAIDED CABLE 2M - 60843,ugreen14displayportzincalloyshellbraidedcable2m60843,5500.0,In Stock,https://www.nanotek.lk/product/ugreen-14-displayport-zinc-alloy-shell-braided-cable-2m-60843
UGREEN HDMI 2.0 4K Cable Male to Male 1.5m - 60820,ugreenhdmi204kcablemaletomale15m60820,1500.0,Out of Stock,https://www.nanotek.lk/product/ugreen-hdmi-20-4k-cable-male-to-male-15m-60820
UGREEN 6-in-1 USB-C Multifunction Adapter For MacBook - 80856,ugreen6in1usbcmultifunctionadapterformacbook80856,6500.0,Out of Stock,https://www.nanotek.lk/product/ugreen-6-in-1-usb-c-multifunction-adapter-for-macbook-80856
