Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL
4PIN PWM TEMPERATURE CONTROL HUB 3 PIN ARGB,4pinpwmtemperaturecontrolhub3pinargb,3000.0,In Stock,https://computerzone.lk/product/4pin-pwm-temperature-control-hub-3-pin-argb/
5.1 USB SOUND CARD,51usbsoundcard,800.0,In Stock,https://computerzone.lk/product/5-1-usb-sound-card/
5V 3 PIN ARGB FAN CONTROLLER,5v3pinargbfancontroller,1200.0,Out of Stock,https://computerzone.lk/product/5v-3-pin-argb-fan-controller/
7.1 USB SOUND CARD,71usbsoundcard,1000.0,In Stock,https://computerzone.lk/product/7-1-usb-sound-card/
BT 5.1 WIRELESS ADAPTER,bt51wirelessadapter,1000.0,In Stock,https://computerzone.lk/product/bt-5-1-wireless-adapter/
CORSAIR PREMIUM PCIE 3.0 X16 EXTENSION CABLE 300MM (VGA RISER CABLE),corsairpremiumpcie30x16extensioncable300mm,16500.0,In Stock,https://computerzone.lk/product/corsair-premium-pcie-3-0-x16-extension/
DESKTOP POWER CABLE (1.2M),powercable,700.0,In Stock,https://computerzone.lk/product/desktop-power-cable-1-2m/
DISPLAYPORT 1.5M ORIGINAL CABLE,displayport15moriginalcable,1000.0,In Stock,https://computerzone.lk/product/displayport-1-5m-original-cable/
DP TO HDMI CONVERTER,dptohdmiconverter,1000.0,In Stock,https://computerzone.lk/product/dp-to-hdmi-converter/
DVI CABLE,dvicable,800.0,In Stock,https://computerzone.lk/product/dvi-cable/
DVI TO VGA CONVERTER,dvitovgaconverter,600.0,In Stock,https://computerzone.lk/product/dvi-to-vga-converter/
HDMI CABLE (1M),hdmicable,800.0,In Stock,https://computerzone.lk/product/hdmi-cable-1m/
HDMI TO VGA CONVERTER,hdmitovgaconverter,1500.0,In Stock,https://computerzone.lk/product/hdmi-to-vga-converter/
HEATZ SC502 USB TO TYPE C FAST CHARGING CABLE,heatzsc502usbtotypecfastchargingcable,900.0,In Stock,https://computerzone.lk/product/heatz-sc502-usb-to-type-c-fast-charging/
HEATZ SC503 USB TO LIGHTNING FAST CHARGING CABLE,heatzsc503usbtolightningfastchargingcable,1000.0,In Stock,https://computerzone.lk/product/heatz-sc503-usb-to-lightning-fast-charging/
HEATZ SC508 USB TYPE C TO TYPE C FAST CHARGING CABLE,heatzsc508usbtypectotypecfastchargingcable,900.0,In Stock,https://computerzone.lk/product/heatz-sc508-usb-type-c-to-type-c-fast-charging-cable/
LB LINK 150MBPS USB WIFI ADAPTER,lblink150mbpsusbwifiadapter,1500.0,In Stock,https://computerzone.lk/product/lb-link-150mbps-usb-wifi-adapter/
SATA CABLE,satacable,200.0,In Stock,https://computerzone.lk/product/sata-cable/
TYPE C TO HDMI CONVERTER,typectohdmiconverter,2000.0,In Stock,https://computerzone.lk/product/type-c-to-hdmi-converter/
USB 3.0 4 PORT HUB,usb304porthub,1500.0,In Stock,https://computerzone.lk/product/usb-3-0-4-port-hub/
USB 3.0 TO HDMI ADAPTER,usb30tohdmiadapter,2500.0,In Stock,https://computerzone.lk/product/usb-3-0-to-hdmi-adapter/
VGA CABLE (1.5M),vgacable,800.0,In Stock,https://computerzone.lk/product/vga-cable-1-5m/
