Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL,Nanotek Price,Nanotek Status,Nanotek URL,Winsoft Price,Winsoft Status,Winsoft URL
MSI MAG PANO 100R PZ,msimagpano100rpz,,,,43500.0,out of stock,https://www.nanotek.lk/product/msi-mag-pano-100r-pz,,,
ANTEC VX320 ARGB,antecvx320argb,,,,13000.0,In Stock,https://www.nanotek.lk/product/antec-vx320-argb,,,
ASUS GR701 ROG HYPERION EVA-02 EDITION,asusgr701roghyperioneva02,,,,165000.0,Out of Stock,https://www.nanotek.lk/product/asus-gr701-rog-hyperion-eva-02-edition,,,
ASUS ROG HYPERION GR701 FULL-TOWER BLACK/WHITE GAMING CASE,asusroghyperiongr701fulltowerblackwhitecase,,,,155000.0,Out of Stock,https://www.nanotek.lk/product/asus-rog-hyperion-gr701-full-tower-blackwhite-gaming-case,,,
ASUS ROG Strix Helios RGB BLACK/WHITE,asusrogstrixheliosrgbblackwhite,,,,104000.0,In Stock,https://www.nanotek.lk/product/asus-rog-strix-helios-rgb-blackwhite,,,
ASUS ROG Z11 MINI-ITX/DTX,asusrogz11miniitxdtx,,,,52500.0,Out of Stock,https://www.nanotek.lk/product/asus-rog-z11-mini-itxdtx,,,
ASUS TUF GAMING GT501,asustufgt501,,,,47500.0,In Stock,https://www.nanotek.lk/product/asus-tuf-gaming-gt501,,,
ASUS TUF GAMING GT502,asustufgt502,,,,56000.0,Out of Stock,https://www.nanotek.lk/product/asus-tuf-gaming-gt502,,,
ASUS ProArt PA401 Wood Edition Tempered Glass Panel,asusproartpa401woodtemperedglasspanel,,,,41000.0,Out of Stock,https://www.nanotek.lk/product/asus-proart-pa401-wood-edition-tempered-glass-panel,,,
ASUS PROART PA602 CASE,asusproartpa602case,,,,99000.0,Out of Stock,https://www.nanotek.lk/product/asus-proart-pa602-case,,,
ASUS A31 Case BTF Supported,asusa31casebtfsupported,,,,19500.0,Out of Stock,https://www.nanotek.lk/product/asus-a31-case-btf-supported,,,
ASUS Prime AP201 Mesh MicroATX Case,asusprimeap201meshmicroatxcase,,,,32500.0,Out of Stock,https://www.nanotek.lk/product/asus-prime-ap201-mesh-microatx-case,,,
ANTEC AX1000 ARGB LITE,antecax1000argblite,,,,19500.0,In Stock,https://www.nanotek.lk/product/antec-ax1000-argb-lite,,,
GAMDIAS MARS E5M CASING WITH GP250 PSU,gamdiasmarse5mcasinggp250psu,,,,9500.0,In Stock,https://www.nanotek.lk/product/gamdias-mars-e5m-casing-with-gp250-psu,,,
