Component Name,Normalized Name,Nanotek Price,Nanotek Status,Nanotek URL,Winsoft Price,Winsoft Status,Winsoft URL
Playstation 5 PRO 2TB - CFI 7121 (2025),playstation5pro2tbcfi7121,275000.0,In Stock,https://www.nanotek.lk/product/playstation-5-pro-2tb-cfi-7121-2025,,,
PLAYSTATION 5 SLIM DISK EDITION CONSOLE 1TB - CFI-2116 (GEN 5),playstation5slimdiskconsole1tbcfi2116,180000.0,In Stock,https://www.nanotek.lk/product/playstation-5-slim-disk-edition-console-1tb-cfi-2116-gen-5,,,
Playstation 5 DualSense EDGE,playstation5dualsenseedge,65500.0,Out of Stock,https://www.nanotek.lk/product/playstation-5-dualsense-edge,,,
Playstation 5 DualSense Wireless Controller,playstation5dualsensewirelesscontroller,25000.0,In Stock,https://www.nanotek.lk/product/playstation-5-dualsense-wireless-controller,,,
Porodo Gaming PS5 Slim Cooling Station + Controller Charging & Headphone Stand,porodops5slimcoolingstationcontrollerchargingheadphonestand,14500.0,In Stock,https://www.nanotek.lk/product/porodo-gaming-ps5-slim-cooling-station-controller-charging-headphone-stand,,,
XBOX WIRELESS CONTROLLER,xwirelesscontroller,20500.0,In Stock,https://www.nanotek.lk/product/xbox-wireless-controller,,,
NINTENDO SWITCH OLED MODEL - NEON,nintendoswitcholedmodelneon,105000.0,Out of Stock,https://www.nanotek.lk/product/nintendo-switch-oled-model-neon,,,
Playstation 5 PRO 2TB - CFI 7021,playstation5pro2tbcfi7021,265000.0,Out of Stock,https://www.nanotek.lk/product/playstation-5-pro-2tb-cfi-7021,,,
PLAYSTATION 5 SLIM DISK EDITION CONSOLE 1TB - CFI-2016A01Y,playstation5slimdiskconsole1tbcfi2016a01y,180000.0,Out of Stock,https://www.nanotek.lk/product/playstation-5-slim-disk-edition-console-1tb-cfi-2016a01y,,,
GREEN LION GL-GC8 GP PRO+ HANDHELD GAMING,greenlionglgc8gpprohandheld,21500.0,Out of Stock,https://www.nanotek.lk/product/green-lion-gl-gc8-gp-pro-handheld-gaming,,,
XBOX Wireless Headset,xwirelessheadset,38500.0,Out of Stock,https://www.nanotek.lk/product/xbox-wireless-headset-1,,,
Lenovo Legion Go 8APU1 Ryzen Z1 AMD Ryzen Z1 Extreme,lenovolegiongo8apu1ryzenz1amdryzenz1extreme,349000.0,Out of Stock,https://www.nanotek.lk/product/lenovo-legion-go-8apu1-ryzen-z1-amd-ryzen-z1-extreme,,,
MSI Claw - A1M 14TH GEN ARC Graphics Handheld Console,msiclawa1m14tharcgraphicshandheldconsole,155000.0,Out of Stock,https://www.nanotek.lk/product/msi-claw-a1m-14th-gen-arc-graphics-handheld-console,329000.0,Out of Stock,https://www.winsoft.lk/product/msi-claw-a1m-handheld-console/
