Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL,Nanotek Price,Nanotek Status,Nanotek URL,Winsoft Price,Winsoft Status,Winsoft URL
ASUS TUF TF120 ARGB FAN BULK,asustuftf120argbfanbulk,,,,4500.0,In Stock,https://www.nanotek.lk/product/asus-tuf-tf120-argb-fan-bulk,,,
ASUS PRIME LC 360 ARGB,asusprimelc360argb,,,,42500.0,In Stock,https://www.nanotek.lk/product/asus-prime-lc-360-argb,,,
ASUS PRIME LC 360 ARGB LCD,asusprimelc360argblcd,,,,56000.0,Out of Stock,https://www.nanotek.lk/product/asus-prime-lc-360-argb-lcd,,,
ASUS ROG RYUJIN III 360 ARGB WHITE/BLACK,asusrogryujiniii360argbwhiteblack,,,,140000.0,Out of Stock,https://www.nanotek.lk/product/asus-rog-ryujin-iii-360-argb-whiteblack,,,
ASUS ROG RYUJIN III 360 ARGB EXTREME,asusrogryujiniii360argbextreme,,,,159500.0,Out of Stock,https://www.nanotek.lk/product/asus-rog-ryujin-iii-360-argb-extreme,,,
ANTEC C40 BLUE LED AIR CPU COOLER,antecc40blueledair,,,,8500.0,Out of Stock,https://www.nanotek.lk/product/antec-c40-blue-led-air-cpu-cooler,,,
CORSAIR NAUTILUS 240 RS ARGB COOLER,corsairnautilus240rsargb,,,,30000.0,Out of Stock,https://www.nanotek.lk/product/corsair-nautilus-240-rs-argb-cooler,,,
ASUS ProArt LC 420 all-in-one CPU liquid cooler,asusproartlc420allinoneliquid,,,,110000.0,Out of Stock,https://www.nanotek.lk/product/asus-proart-lc-420-all-in-one-cpu-liquid-cooler,,,
ASUS PROART LC 360,asusproartlc360,,,,94000.0,Out of Stock,https://www.nanotek.lk/product/asus-proart-lc-360,,,
ASUS TUF Gaming LC III 360 ARGB LCD,asustuflciii360argblcd,,,,68500.0,In stock,https://www.nanotek.lk/product/asus-tuf-gaming-lc-iii-360-argb-lcd,,,
ASUS ROG STRIX LC III 360 ARGB LCD,asusrogstrixlciii360argblcd,,,,112000.0,In stock,https://www.nanotek.lk/product/asus-rog-strix-lc-iii-360-argb-lcd,,,
GAMDIAS BOREAS M1-620 ARGB CPU AIR COOLER,gamdiasboreasm1620argbair,,,,14500.0,In Stock,https://www.nanotek.lk/product/gamdias-boreas-m1-620-argb-cpu-air-cooler,,,
ASUS ROG RG-07 PERFORMANCE THERMAL PASTE,asusrogrg07performancethermalpaste,,,,5000.0,In Stock,https://www.nanotek.lk/product/asus-rog-rg-07-performance-thermal-paste,,,
ANTEC VORTEX LUM 360 ARGB,antecvortexlum360argb,,,,37500.0,Out of Stock,https://www.nanotek.lk/product/antec-vortex-lum-360-argb,,,
ANTEC VORTEX LUM 240 ARGB,antecvortexlum240argb,,,,28500.0,In Stock,https://www.nanotek.lk/product/antec-vortex-lum-240-argb,,,
GAMDIAS BOREAS P2-62D CPU AIR COOLER BLACK,gamdiasboreasp262dairblack,,,,21500.0,In Stock,https://www.nanotek.lk/product/gamdias-boreas-p2-62d-cpu-air-cooler-black,,,
GAMDIAS AURA GL360 DIGITAL ARGB LIQUID COOLER,gamdiasauragl360digitalargbliquid,,,,21000.0,Out of Stock,https://www.nanotek.lk/product/gamdias-aura-gl360-digital-argb-liquid-cooler,,,
THERMAL GRIZZLY M.2 SSD Cooler,thermalgrizzlym2ssd,,,,4000.0,In stock,https://www.nanotek.lk/product/thermal-grizzly-m2-ssd-cooler,,,
THERMAL GRIZZLY PHASESHEET PTM,thermalgrizzlyphasesheetptm,,,,4000.0,Out of Stock,https://www.nanotek.lk/product/thermal-grizzly-phasesheet-ptm,,,
ANTEC P14 ARGB 140MM 3 Pack,antecp14argb140mm3,,,,10000.0,In Stock,https://www.nanotek.lk/product/antec-p14-argb-140mm-3-pack,,,
ANTEC F12 RACING 5 Pack,antecf12racing5,,,,7500.0,In Stock,https://www.nanotek.lk/product/antec-f12-racing-5-pack,,,
ANTEC FUSION 120 ARGB 3+C,antecfusion120argb3c,,,,14500.0,Out of Stock,https://www.nanotek.lk/product/antec-fusion-120-argb-3c,,,
NZXT Kraken Elite 360 Black Liquid Cooler with LCD Display,nzxtkrakenelite360blackliquidlcddisplay,,,,56500.0,Out of Stock,https://www.nanotek.lk/product/nzxt-kraken-elite-360-black-liquid-cooler-with-lcd-display,,,
Cooler Master MF120 HALO ARGB 3PACK,mastermf120haloargb3,,,,14500.0,In Stock,https://www.nanotek.lk/product/cooler-master-mf120-halo-argb-3pack,,,
COOLERMASTER CF120 ARGB SINGLE,mastercf120argbsingle,,,,3000.0,Out of Stock,https://www.nanotek.lk/product/coolermaster-cf120-argb-single,,,
Thermal Grizzly Kryonaut Thermal Paste 1G,thermalgrizzlykryonautthermalpaste1g,,,,2500.0,Out of Stock,https://www.nanotek.lk/product/thermal-grizzly-kryonaut-thermal-paste-1g,,,
CORSAIR XTM50 THERMAL PASTE,corsairxtm50thermalpaste,,,,7000.0,Out of Stock,https://www.nanotek.lk/product/corsair-xtm50-thermal-paste,,,
ANTEC VORTEX 360 ARGB LGA 1700 & AM5 Supported,antecvortex360argblga1700am5supported,,,,36500.0,Out of Stock,https://www.nanotek.lk/product/antec-vortex-360-argb-lga-1700-am5-supported,,,
CORSAIR ICUE CORE XT RGB/FAN CONTROLLER,corsairicuextrgbfancontroller,,,,23000.0,Out of Stock,https://www.nanotek.lk/product/corsair-icue-core-xt-rgbfan-controller,,,
ADATA XPG PRIME ARGB LED Strip,adataxpgprimeargbledstrip,,,,6500.0,Out of Stock,https://www.nanotek.lk/product/adata-xpg-prime-argb-led-strip,,,
ASUS TUF TF120 ARGB FAN White/Black,asustuftf120argbfanwhiteblack,,,,5500.0,In Stock,https://www.nanotek.lk/product/asus-tuf-tf120-argb-fan-whiteblack-1,,,
NZXT Kraken Core 360 RGB,nzxtkraken360rgb,,,,46000.0,In stock,https://www.nanotek.lk/product/nzxt-kraken-core-360-rgb,,,
ACEGEEK PANDORA 120MM FAN Black / White,acegeekpandora120mmfanblackwhite,,,,2000.0,Out of Stock,https://www.nanotek.lk/product/acegeek-pandora-120mm-fan-black-white,,,
