Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL
CORE I3 2ND GEN PC WITH 4GB RAM – 500GB HARD DISK,i32ndpc4gbram500gbharddisk,21500.0,In Stock,https://computerzone.lk/product/core-i3-2nd-gen-pc-with-4gb-ram-120gb-ssd/
CORE I3 3RD GEN PC WITH 4GB RAM – 500GB HARD DISK,i33rdpc4gbram500gbharddisk,22500.0,In Stock,https://computerzone.lk/product/core-i3-3rd-gen-pc-with-4gb-ram-120gb-ssd/
CORE I3 4TH GEN PC WITH 4GB RAM – 500GB HARD DISK,i34thpc4gbram500gbharddisk,25500.0,In Stock,https://computerzone.lk/product/core-i3-4th-gen-pc-with-4gb-ram-120gb-ssd/
CORE I3 6TH GEN PC WITH 8GB RAM – 500GB HARD DISK,i36thpc8gbram500gbharddisk,39500.0,In Stock,https://computerzone.lk/product/core-i3-6th-gen-pc-with-8gb-ram-120gb-ssd/
CORE I5 2ND GEN PC WITH 4GB RAM – 500GB HARD DISK,i52ndpc4gbram500gbharddisk,23500.0,In Stock,https://computerzone.lk/product/core-i5-2nd-gen-pc-with-4gb-ram-120gb-ssd/
CORE I5 3RD GEN PC WITH 4GB RAM – 500GB HARD DISK,i53rdpc4gbram500gbharddisk,24000.0,In Stock,https://computerzone.lk/product/core-i5-3rd-gen-pc-with-4gb-ram-120gb-ssd/
CORE I5 4TH GEN PC WITH 4GB RAM – 500GB HDD,i54thpc4gbram500gbhdd,30000.0,In Stock,https://computerzone.lk/product/core-i5-4th-gen-pc-with-8gb-ram-120gb-ssd/
CORE I5 4TH GEN PC WITH 4GB RAM – 120GB SSD,i54thpc4gbram120gbssd,27000.0,In Stock,https://computerzone.lk/product/core-i5-4th-gen-pc/
CORE I5 4TH GEN PC WITH 8GB RAM – 120GB SSD,i54thpc8gbram120gbssd,29500.0,In Stock,https://computerzone.lk/product/core-i5-4th-gen-pc-with-4gb-ram-120gb-ssd/
CORE I5 6TH GEN PC WITH 8GB RAM – 500GB HARD DISK,i56thpc8gbram500gbharddisk,43900.0,In Stock,https://computerzone.lk/product/core-i5-6th-gen-pc-with-8gb-ram-120gb-ssd/
CORE I5 8TH GEN PC WITH 8GB RAM – 500GB HARD DISK,i58thpc8gbram500gbharddisk,57500.0,In Stock,https://computerzone.lk/product/core-i5-8th-gen-pc-with-8gb-ram-120gb-ssd/
CORE I7 3RD GEN PC WITH 4GB RAM – 500GB HARD DISK,i73rdpc4gbram500gbharddisk,30500.0,In Stock,https://computerzone.lk/product/core-i7-3rd-gen-pc-with-4gb-ram-120gb-ssd/
CORE I7 4TH GEN PC WITH 8GB RAM – 500GB HARD DISK,i74thpc8gbram500gbharddisk,37900.0,In Stock,https://computerzone.lk/product/core-i7-4th-gen-pc-with-8gb-ram-120gb-ssd/
I5 6TH GEN PC WITH 8GB RAM – 120GB M.2 SSD,i56thpc8gbram120gbm2ssd,42500.0,In Stock,https://computerzone.lk/product/i5-6th-gen-pc-with-8gb-ram-120gb-m-2-ssd/
