Component Name,Normalized Name,Nanotek Price,Nanotek Status,Nanotek URL
KOORUI JY01 SINGLE MOTOR HEIGHT ADJUSTABLE DESK,kooruijy01singlemotorheightadjustabledesk,59000.0,In Stock,https://www.nanotek.lk/product/koorui-jy01-single-motor-height-adjustable-desk
KOORUI DY01WO DOUBLE LAYER DESKTOP LIFTING TABLE,kooruidy01wodoublelayerliftingtable,18500.0,In Stock,https://www.nanotek.lk/product/koorui-dy01wo-double-layer-desktop-lifting-table
KOORUI AD01WW DUAL MOTOR HEIGHT ADJUSTABLE DESK,kooruiad01wwdualmotorheightadjustabledesk,89000.0,In Stock,https://www.nanotek.lk/product/koorui-ad01ww-dual-motor-height-adjustable-desk
Asus SL301 ROG Chariot X,asussl301rogchariotx,225000.0,In Stock - Colombo 3,https://www.nanotek.lk/product/asus-sl301-rog-chariot-x
Asus SL301C ROG Chariot X Core,asussl301crogchariotx,165000.0,In Stock - Colombo 3,https://www.nanotek.lk/product/asus-sl301c-rog-chariot-x-core
Asus ROG SL201C Aethon Fabric Edition Gaming Chair,asusrogsl201caethonfabricchair,139000.0,In Stock - Colombo 3,https://www.nanotek.lk/product/asus-rog-sl201c-aethon-fabric-edition-gaming-chair
Corsair TC500 LUXE Gaming Chair Shadow,corsairtc500luxechairshadow,145000.0,Out of Stock,https://www.nanotek.lk/product/corsair-tc500-luxe-gaming-chair-shadow
FANTECH LEDARE GC192 GAMING CHAIR,fantechledaregc192chair,59500.0,Out of Stock,https://www.nanotek.lk/product/fantech-ledare-gc192-gaming-chair
CORSAIR T3 RUSH GAMING CHAIR Charcoal & Gray Charcoal,corsairt3rushchaircharcoalgraycharcoal,92000.0,In Stock - Colombo 3,https://www.nanotek.lk/product/corsair-t3-rush-gaming-chair-charcoal-gray-charcoal
FANTECH ALPHA GC-283 GAMING CHAIR,fantechalphagc283chair,72000.0,Out of Stock,https://www.nanotek.lk/product/fantech-alpha-gc-283-gaming-chair
ASUS ROG SL400C Destrier Core Gaming Chair,asusrogsl400cdestrierchair,249000.0,Out of Stock,https://www.nanotek.lk/product/asus-rog-sl400c-destrier-core-gaming-chair
CORSAIR TC100 RELAXED GAMING CHAIR - FABRIC BLACK & GREY,corsairtc100relaxedchairfabricblackgrey,60500.0,Out of Stock,https://www.nanotek.lk/product/corsair-tc100-relaxed-gaming-chair-fabric-black-grey
Corsair TC100 Relaxed Leatherette Gaming Chair,corsairtc100relaxedleatherettechair,60500.0,Out of Stock,https://www.nanotek.lk/product/corsair-tc100-relaxed-leatherette-gaming-chair
GAMDIAS ZELUS M3 WEAVE L GB GAMING CHAIR,gamdiaszelusm3weavelgbchair,45500.0,Out of Stock,https://www.nanotek.lk/product/gamdias-zelus-m3-weave-l-gb-gaming-chair
GAMDIAS ZELUS M4 WEAVE L GB GAMING CHAIR,gamdiaszelusm4weavelgbchair,48500.0,Out of Stock,https://www.nanotek.lk/product/gamdias-zelus-m4-weave-l-gb-gaming-chair
ACEGEEK Knight V2 RGB Black Gaming Chair,acegeekknightv2rgbblackchair,39000.0,Out of Stock,https://www.nanotek.lk/product/acegeek-knight-v2-rgb-black-gaming-chair
MSI MAG CH120 X GAMING CHAIR,msimagch120xchair,60500.0,Out of Stock,https://www.nanotek.lk/product/msi-mag-ch120-x-gaming-chair
MSI MAG CH120 BLACK & RED GAMING CHAIR,msimagch120blackredchair,60500.0,Out of Stock,https://www.nanotek.lk/product/msi-mag-ch120-black-red-gaming-chair
