Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL
AMD RYZEN 5 5500 A520 16GB RAM + 512GB SSD RTX 3050 6GB GAMING PC,amdryzen55500a52016gbram512gbssdrtx30506gbpc,171500.0,Out of Stock,https://computerzone.lk/product/amd-ryzen-5-5500-a520-16gb-ram-512gb-ssd-rtx-3050-6gb-gaming-pc/
AMD RYZEN 5 5600X A520 16GB RAM + 256GB SSD RX 6600XT 8GB GAMING PC,amdryzen55600xa52016gbram256gbssdrx6600xt8gbpc,209000.0,In Stock,https://computerzone.lk/product/amd-ryzen-5-5600x-a520-16gb-ram/
AMD RYZEN 7 5700G A520 16GB RAM + 256GB SSD GAMING PC,amdryzen75700ga52016gbram256gbssdpc,159500.0,In Stock,https://computerzone.lk/product/amd-ryzen-7-5700g-a520-16gb-ram-256gb-ssd/
AMD RYZEN 7 5700G A520 8GB RAM + 256GB SSD GAMING PC,amdryzen75700ga5208gbram256gbssdpc,126500.0,In Stock,https://computerzone.lk/product/amd-ryzen-7-5700g-a520-8gb-ram-256gb/
AMD RYZEN 7 5700G A520 8GB RAM + 512GB SSD GAMING PC,amdryzen75700ga5208gbram512gbssdpc,127500.0,In Stock,https://computerzone.lk/product/amd-ryzen-7-5700g-a520-8gb-ram-512gb-ssd-gaming-pc/
I3 4TH GAMING PC WITH 8GB RAM 128GB SSD + 500GB HDD GTX 750TI 2GB,i34thpc8gbram128gbssd500gbhddgtx750ti2gb,48500.0,In Stock,https://computerzone.lk/product/i3-4th-gaming-pc-with-8gb-ram-128gb-ssd-500gb-hdd-gtx-750ti-2gb/
I3 8TH GEN GAMING PC WITH 8GB RAM + 128GB SSD GTX 750TI 2GB,i38thpc8gbram128gbssdgtx750ti2gb,63500.0,In Stock,https://computerzone.lk/product/i3-8th-gen-gaming-pc-with-8gb-ram-128gb-ssd-gtx-750ti-2gb/
I3 8TH GEN GAMING PC WITH 8GB RAM + 128GB SSD GTX 960 2GB,i38thpc8gbram128gbssdgtx9602gb,68500.0,In Stock,https://computerzone.lk/product/i3-8th-gen-gaming-pc-with-8gb-ram-128gb-ssd-gtx-960-2gb/
I3 8TH GEN GAMING PC WITH 8GB RAM GTX 750TI 2GB VGA,i38thpc8gbramgtx750ti2gbvga,68900.0,In Stock,https://computerzone.lk/product/i3-8th-gen-gaming-pc/
I3 9TH GEN GAMING PC WITH 8GB RAM + 128GB SSD GTX 750TI 2GB,i39thpc8gbram128gbssdgtx750ti2gb,68500.0,In Stock,https://computerzone.lk/product/i3-9th-gen-gaming-pc-with-8gb-ram-128gb-ssd-gtx-750ti-2gb/
I5 2ND GEN GAMING PC WITH 8GB RAM GTX 960 2GB VGA CARD,i52ndpc8gbramgtx9602gbvgacard,55000.0,In Stock,https://computerzone.lk/product/i5-2nd-gen-gaming-pc-with-8gb-ram-gtx-960-2gb-vga-card/
I5 4TH GAMING PC WITH 8GB RAM 128GB SSD + 500GB HDD GTX 750TI 2GB,i54thpc8gbram128gbssd500gbhddgtx750ti2gb,52800.0,In Stock,https://computerzone.lk/product/i5-4th-gaming-pc-with-8gb-ram-128gb-ssd-500gb-hdd-gtx-750ti-2gb/
I5 4TH GEN GAMING PC WITH 8GB RAM GTX 650 1GB VGA,i54thpc8gbramgtx6501gbvga,36500.0,Out of Stock,https://computerzone.lk/product/i5-4th-gen-gaming-pc-with-8gb-ram/
I5 4TH GEN GAMING PC WITH 8GB RAM GTX 750 1GB,i54thpc8gbramgtx7501gb,43500.0,In Stock,https://computerzone.lk/product/i5-4th-gen-gaming-pc/
I5 4TH GEN GAMING PC WITH 8GB RAM GTX 750TI 2GB,i54thpc8gbramgtx750ti2gb,52000.0,Out of Stock,https://computerzone.lk/product/i5-4th-gen-gaming-pc-with-gtx-750ti-2gb/
I5 4TH GEN GAMING PC WITH 8GB RAM GTX 960 2GB,i54thpc8gbramgtx9602gb,58000.0,In Stock,https://computerzone.lk/product/i5-4th-gen-gaming-pc-8gb-ram-gtx-960-2gb/
I5 4TH GEN GAMING PC WITH GTX 750TI 2GB GAMING VGA,i54thpcgtx750ti2gbvga,55000.0,In Stock,https://computerzone.lk/product/i5-4th-gen-gaming-pc-with-gtx-660-2gb/
I5 4TH GEN GAMING PC WITH GTX 750TI 2GB VGA CARD,i54thpcgtx750ti2gbvgacard,51800.0,In Stock,https://computerzone.lk/product/i5-4th-gen-gaming-pc-with-8gb-ram-120gb/
I5 6TH GEN GAMING PC WITH 8GB RAM GTX 650 1GB VGA,i56thpc8gbramgtx6501gbvga,45000.0,In Stock,https://computerzone.lk/product/i5-6th-gen-gaming-pc-with-8gb-ram/
I5 6TH GEN GAMING PC WITH 8GB RAM GTX 750TI 2GB VGA CARD,i56thpc8gbramgtx750ti2gbvgacard,61500.0,In Stock,https://computerzone.lk/product/i5-6th-gen-gaming-pc-with-8gb-ram-gtx-750ti-2gb-vga-card/
I5 6TH GEN GAMING PC WITH 8GB RAM GTX 960 2GB VGA CARD,i56thpc8gbramgtx9602gbvgacard,68500.0,In Stock,https://computerzone.lk/product/i5-6th-gen-gaming-pc-with-8gb-ram-gtx-960-2gb-vga-card/
I5 6TH GEN GAMING PC WITH GTX 750TI 2GB VGA CARD,i56thpcgtx750ti2gbvgacard,62500.0,In Stock,https://computerzone.lk/product/i5-6th-gen-gaming-pc-with-gtx-750ti-2gb-vga-card/
I5 7TH GEN GAMING PC WITH 8GB 128GB M.2 GTX 750TI 2GB VGA CARD,i57thpc8gb128gbm2gtx750ti2gbvgacard,67500.0,In Stock,https://computerzone.lk/product/i5-7th-gen-gaming-pc-with-8gb-128gb-gtx-750ti-2gb-vga-card/
I5 8TH GEN GAMING PC WITH 16GB RAM RTX 2060 6GB VGA,i58thpc16gbramrtx20606gbvga,143000.0,In Stock,https://computerzone.lk/product/i5-8th-gen-gaming-pc-with-16gb-ram-rtx-2060-6gb-vga/
I5 8TH GEN GAMING PC WITH 8GB RAM GTX 1060 6GB VGA,i58thpc8gbramgtx10606gbvga,115000.0,In Stock,https://computerzone.lk/product/i5-8th-gen-gaming-pc-with-8gb-ram-gtx-1060-6gb-vga/
I5 9TH GEN GAMING PC WITH 8GB RAM 128GB M.2 + 500GB HDD GTX 960 2GB VGA,i59thpc8gbram128gbm2500gbhddgtx9602gbvga,98000.0,In Stock,https://computerzone.lk/product/i5-9th-gen-gaming-pc-with-8gb-ram-128gb-m-2-500gb-hdd-gtx-960-2gb-vga/
