Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL,Nanotek Price,Nanotek Status,Nanotek URL,PCBuilders Price,PCBuilders Status,PCBuilders URL,Winsoft Price,Winsoft Status,Winsoft URL
ASUS Dual GeForce RTX 3050 6GB OC GDDR6,asusdualgeforcertx30506gbocgddr6,,,,77000.0,Out of Stock,https://www.nanotek.lk/product/asus-dual-geforce-rtx-3050-6gb-oc-gddr6,,,,,,
MSI GeForce RTX 5050 8G GAMING OC,msigeforcertx50508goc,,,,136000.0,In stock,https://www.nanotek.lk/product/msi-geforce-rtx-5050-8g-gaming-oc,,,,,,
ASUS Dual GeForce RTX 5070 12GB GDDR7 OC,asusdualgeforcertx507012gbgddr7oc,,,,279000.0,In stock,https://www.nanotek.lk/product/asus-dual-geforce-rtx-5070-12gb-gddr7-oc,,,,,,
ASUS ROG Geforce RTX 5090 Astral 32GB GDDR7,asusroggeforcertx5090astral32gbgddr7,,,,1435000.0,In stock,https://www.nanotek.lk/product/asus-rog-geforce-rtx-5090-astral-32gb-gddr7,,,,,,
ASUS TUF Gaming Geforce RTX 5080 16GB GDDR7,asustufgeforcertx508016gbgddr7,,,,629000.0,In Stock,https://www.nanotek.lk/product/asus-tuf-gaming-geforce-rtx-5080-16gb-gddr7,,,,,,
ASUS PRIME Geforce RTX 5080 16GB GDDR7,asusprimegeforcertx508016gbgddr7,,,,559000.0,Out of Stock,https://www.nanotek.lk/product/asus-prime-geforce-rtx-5080-16gb-gddr7,,,,,,
Asus TUF Gaming GeForce RTX 5070 12GB GDDR7 OC,asustufgeforcertx507012gbgddr7oc,,,,299000.0,Out of Stock,https://www.nanotek.lk/product/asus-tuf-gaming-geforce-rtx-5070-12gb-gddr7-oc,,,,,,
Asus PRIME GeForce RTX 5070 12GB GDDR7 OC,asusprimegeforcertx507012gbgddr7oc,,,,269000.0,Out of Stock,https://www.nanotek.lk/product/asus-prime-geforce-rtx-5070-12gb-gddr7-oc,,,,,,
ASUS Prime GeForce RTX 5070 Ti 16GB GDDR7,asusprimegeforcertx5070ti16gbgddr7,,,,399000.0,Out of Stock,https://www.nanotek.lk/product/asus-prime-geforce-rtx-5070-ti-16gb-gddr7,,,,,,
ASUS Dual GeForce RTX 5050 8GB GDDR6 OC Edition,asusdualgeforcertx50508gbgddr6oc,,,,124500.0,In Stock,https://www.nanotek.lk/product/asus-dual-geforce-rtx-5050-8gb-gddr6-oc-edition-1,,,,,,
Asus ROG Astral LC GeForce RTX 5090 32GB GDDR7,asusrogastrallcgeforcertx509032gbgddr7,,,,1569000.0,Out of Stock,https://www.nanotek.lk/product/asus-rog-astral-lc-geforce-rtx-5090-32gb-gddr7,,,,,,
ASUS PRIME Geforce RTX 5060 TI 8GB DDR7 OC,asusprimegeforcertx5060ti8gbddr7oc,,,,189000.0,Out of Stock,https://www.nanotek.lk/product/asus-prime-geforce-rtx-5060-ti-8gb-ddr7-oc,,,,,,
ASUS TUF Gaming GeForce RTX 5060 Ti 16GB GDDR7,asustufgeforcertx5060ti16gbgddr7,,,,225000.0,Out of Stock,https://www.nanotek.lk/product/asus-tuf-gaming-geforce-rtx-5060-ti-16gb-gddr7,,,,,,
ASUS TUF Gaming GeForce RTX 5060 8GB GDDR7,asustufgeforcertx50608gbgddr7,,,,159000.0,Out of Stock,https://www.nanotek.lk/product/asus-tuf-gaming-geforce-rtx-5060-8gb-gddr7,,,,,,
ASUS Dual GeForce RTX 5060 Ti 16GB GDDR7,asusdualgeforcertx5060ti16gbgddr7,,,,232000.0,In Stock,https://www.nanotek.lk/product/asus-dual-geforce-rtx-5060-ti-16gb-gddr7,,,,,,
ASUS Dual GeForce RTX 5060 8GB GDDR7,asusdualgeforcertx50608gbgddr7,,,,143500.0,Out of Stock,https://www.nanotek.lk/product/asus-dual-geforce-rtx-5060-8gb-gddr7,,,,,,
