Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL,Nanotek Price,Nanotek Status,Nanotek URL,Winsoft Price,Winsoft Status,Winsoft URL
Asus Vivobook GO 15 E1504FA AMD Ryzen 3,asusvivobookgo15e1504faamdryzen3,,,,147000.0,In stock,https://www.nanotek.lk/product/asus-vivobook-go-15-e1504fa-amd-ryzen-3,,,
ASUS V16 Gaming V3607VH Core 7 RTX5050,asusv16v3607vh7rtx5050,,,,455000.0,In Stock,https://www.nanotek.lk/product/asus-v16-gaming-v3607vh-core-7-rtx5050,,,
MSI Cyborg 15 A13VF I7 13TH GEN RTX 4060 8GB,msicyborg15a13vfi713thrtx40608gb,,,,399000.0,In Stock,https://www.nanotek.lk/product/msi-cyborg-15-a13vf-i7-13th-gen-rtx-4060-8gb,,,
Lenovo IdeaPad Slim 5 14AKP10 Ryzen AI 5 330,lenovoideapadslim514akp10ryzenai5330,,,,272000.0,In Stock,https://www.nanotek.lk/product/lenovo-ideapad-slim-5-14akp10-ryzen-ai-5-330,,,
Lenovo IdeaPad Slim 5 16AKP10 Ryzen AI 7 350 OLED,lenovoideapadslim516akp10ryzenai7350oled,,,,399000.0,In Stock,https://www.nanotek.lk/product/lenovo-ideapad-slim-5-16akp10-ryzen-ai-7-350-oled,,,
LENOVO V15 G5 CORE 5 H 15TH GEN,lenovov15g55h15th,,,,215000.0,In Stock,https://www.nanotek.lk/product/lenovo-v15-g5-core-5-h-15th-gen,,,
MSI THIN 15 B7UC RYZEN 5 RTX 3050,msithin15b7ucryzen5rtx3050,,,,275000.0,In Stock,https://www.nanotek.lk/product/msi-thin-15-b7uc-ryzen-5-rtx-3050,,,
LENOVO LOQ 15AHP10 Ryzen 5 16GB RTX 5050 8GB,lenovoloq15ahp10ryzen516gbrtx50508gb,,,,369000.0,In Stock,https://www.nanotek.lk/product/lenovo-loq-15ahp10-ryzen-5-16gb-rtx-5050-8gb-1,,,
ASUS ROG G16 G615JPR 2025 i9 14900HX RTX 5070,asusrogg16g615jpr2025i914900hxrtx5070,,,,709000.0,In Stock - Display Unit,https://www.nanotek.lk/product/asus-rog-g16-g615jpr-2025-i9-14900hx-rtx-5070,,,
Lenovo LOQ 15IRX9 i7 13th GEN HX + RTX 4060 8GB,lenovoloq15irx9i713thhxrtx40608gb,,,,505000.0,In Stock,https://www.nanotek.lk/product/lenovo-loq-15irx9-i7-13th-gen-hx-rtx-4060-8gb,,,
MSI THIN 15 B7UC RYZEN 7 RTX 3050,msithin15b7ucryzen7rtx3050,,,,305000.0,In Stock,https://www.nanotek.lk/product/msi-thin-15-b7uc-ryzen-7-rtx-3050,,,
ASUS ZENBOOK 14 UX3405CA Ultra 7 15GEN 512GB 16GB OLED,asuszenbook14ux3405caultra715512gb16gboled,,,,359000.0,In Stock,https://www.nanotek.lk/product/asus-zenbook-14-ux3405ca-ultra-7-15gen-512gb-16gb-oled,,,
LENOVO LEGION PRO 5 16AFR10 Ryzen 9 RTX 5070,lenovolegionpro516afr10ryzen9rtx5070,,,,699000.0,In stock,https://www.nanotek.lk/product/lenovo-legion-pro-5-16afr10-ryzen-9-rtx-5070,,,
ASUS ZENBOOK A14 UX3407QA SNAPDRAGON X X126100 1TB 16G,asuszenbooka14ux3407qasnapdragonxx1261001tb16g,,,,389000.0,In stock 'Display Unit',https://www.nanotek.lk/product/asus-zenbook-a14-ux3407qa-snapdragon-x-x126100-1tb-16g,,,
LENOVO Legion 5 15AKP10 Ryzen Ai 7 RTX 5060,lenovolegion515akp10ryzenai7rtx5060,,,,615000.0,In Stock,https://www.nanotek.lk/product/lenovo-legion-5-15akp10-ryzen-ai-7-rtx-5060,,,
ASUS Vivobook 15 X1502VA I5 13TH GEN H Series,asusvivobook15x1502vai513thh,,,,227000.0,Out of Stock,https://www.nanotek.lk/product/asus-vivobook-15-x1502va-i5-13th-gen-h-series-1,,,
Asus Vivobook GO 15 E1504FA AMD Ryzen 5,asusvivobookgo15e1504faamdryzen5,,,,189000.0,In stock,https://www.nanotek.lk/product/asus-vivobook-go-15-e1504fa-amd-ryzen-5,,,
HP VICTUS 15 FA2275TX i5 13TH GEN RTX 3050 6GB,hpvictus15fa2275txi513thrtx30506gb,,,,279000.0,In Stock,https://www.nanotek.lk/product/hp-victus-15-fa2275tx-i5-13th-gen-rtx-3050-6gb,,,
Lenovo ThinkPad P16 Gen 3 Ultra 9 + RTX PRO 2000 4K Workstation,lenovothinkpadp163ultra9rtxpro20004kworkstation,,,,1155000.0,Pre-Order ( 2 Days ),https://www.nanotek.lk/product/lenovo-thinkpad-p16-gen-3-ultra-9-rtx-pro-2000-4k-workstation,,,
LENOVO Legion 5 15AKP10 Ryzen Ai 7 RTX 5070,lenovolegion515akp10ryzenai7rtx5070,,,,649000.0,In Stock,https://www.nanotek.lk/product/lenovo-legion-5-15akp10-ryzen-ai-7-rtx-5070,,,
Lenovo LOQ 15IAX9 i5 12th GEN HX + RTX 3050 6GB,lenovoloq15iax9i512thhxrtx30506gb,,,,279000.0,Out of Stock,https://www.nanotek.lk/product/lenovo-loq-15iax9-i5-12th-gen-hx-rtx-3050-6gb,,,
Lenovo Ideapad SLIM 3 15IRH10R Core 5 15th GEN,lenovoideapadslim315irh10r515th,,,,229000.0,Out of Stock,https://www.nanotek.lk/product/lenovo-ideapad-slim-3-15irh10r-core-5-15th-gen,,,
Lenovo YOGA 7 2 in 1 14AKP10 Ryzen AI 7 350 OLED,lenovoyoga72in114akp10ryzenai7350oled,,,,439000.0,In Stock,https://www.nanotek.lk/product/lenovo-yoga-7-2-in-1-14akp10-ryzen-ai-7-350-oled,,,
LENOVO LEGION PRO 7 16IAX10H ULTRA 9 RTX 5090,lenovolegionpro716iax10hultra9rtx5090,,,,1399000.0,In Stock,https://www.nanotek.lk/product/lenovo-legion-pro-7-16iax10h-ultra-9-rtx-5090,,,
Lenovo ThinkPad P16 Gen 3 Ultra 9 + RTX PRO 2000 Workstation,lenovothinkpadp163ultra9rtxpro2000workstation,,,,1075000.0,Pre-Order ( 2 Days ),https://www.nanotek.lk/product/lenovo-thinkpad-p16-gen-3-ultra-9-rtx-pro-2000-workstation,,,
ASUS VIVOBOOK 15 X1504VAP CORE 7 14TH GEN,asusvivobook15x1504vap714th,,,,299000.0,In stock,https://www.nanotek.lk/product/asus-vivobook-15-x1504vap-core-7-14th-gen,,,
HP VICTUS 15 FA2013DX Core i5 RTX 3050 6GB,hpvictus15fa2013dxi5rtx30506gb,,,,239000.0,In Stock,https://www.nanotek.lk/product/hp-victus-15-fa2013dx-core-i5-rtx-3050-6gb-1,219500.0,In Stock,https://www.winsoft.lk/product/hp-victus-15-fa2013dx-core-i5-rtx-3050/
ASUS TUF GAMING F16 FX607VU Core 5 15th GEN RTX 4050 6GB,asustuff16fx607vu515thrtx40506gb,,,,369000.0,In Stock,https://www.nanotek.lk/product/asus-tuf-gaming-f16-fx607vu-core-5-15th-gen-rtx-4050-6gb,,,
MSI MODERN 15 F1MG INTEL CORE 5 14TH GEN,msimodern15f1mgintel514th,,,,225000.0,In Stock,https://www.nanotek.lk/product/msi-modern-15-f1mg-intel-core-5-14th-gen,,,
ASUS ROG G16 G614PP 2025 Ryzen 9 8000 series RTX 5070,asusrogg16g614pp2025ryzen98000rtx5070,,,,699000.0,In stock,https://www.nanotek.lk/product/asus-rog-g16-g614pp-2025-ryzen-9-8000-series-rtx-5070,,,
ASUS VIVOBOOK 14 FLIP TP3407SA Ultra 5 16GB 1TB,asusvivobook14fliptp3407saultra516gb1tb,,,,435000.0,Out of Stock,https://www.nanotek.lk/product/asus-vivobook-14-flip-tp3407sa-ultra-5-16gb-1tb,,,
Lenovo LOQ Essential 15IAX9E i5 12th GEN HX + RTX 2050,lenovoloqessential15iax9ei512thhxrtx2050,,,,239000.0,In Stock,https://www.nanotek.lk/product/lenovo-loq-essential-15iax9e-i5-12th-gen-hx-rtx-2050,,,
LENOVO LEGION PRO 5 16AFR10 Ryzen 9 RTX 5060,lenovolegionpro516afr10ryzen9rtx5060,,,,669000.0,In Stock,https://www.nanotek.lk/product/lenovo-legion-pro-5-16afr10-ryzen-9-rtx-5060,,,
LENOVO YOGA Book 9 14IAH10 ULTRA 9 Dual Screen 2.8K OLED,lenovoyogabook914iah10ultra9dualscreen28koled,,,,729000.0,In Stock,https://www.nanotek.lk/product/lenovo-yoga-book-9-14iah10-ultra-9-dual-screen-28k-oled,,,
ASUS TUF Gaming A16 (2025) FA608PM Ryzen 9 RTX 5060,asustufa16fa608pmryzen9rtx5060,,,,575000.0,In stock,https://www.nanotek.lk/product/asus-tuf-gaming-a16-2025-fa608pm-ryzen-9-rtx-5060,,,
Asus ExpertBook B1503CVA Core 5,asusexpertbookb1503cva5,,,,229000.0,In Stock,https://www.nanotek.lk/product/asus-expertbook-b1503cva-core-5,,,
MSI Katana 15 B14WFK Intel I9 14900HX RTX 5060,msikatana15b14wfkinteli914900hxrtx5060,,,,629000.0,In Stock,https://www.nanotek.lk/product/msi-katana-15-b14wfk-intel-i9-14900hx-rtx-5060,,,
LENOVO LOQ 15AHP10 Ryzen 7 RTX 5060 8GB,lenovoloq15ahp10ryzen7rtx50608gb,,,,439000.0,In Stock,https://www.nanotek.lk/product/lenovo-loq-15ahp10-ryzen-7-rtx-5060-8gb,,,
MSI Summit 16 AI Evo A2HMTG Core Ultra 7 255H,msisummit16aievoa2hmtgultra7255h,,,,609000.0,In stock,https://www.nanotek.lk/product/msi-summit-16-ai-evo-a2hmtg-core-ultra-7-255h,,,
MSI Cyborg 15 A13UC I7 13TH GEN RTX 3050 4GB,msicyborg15a13uci713thrtx30504gb,,,,319000.0,In Stock,https://www.nanotek.lk/product/msi-cyborg-15-a13uc-i7-13th-gen-rtx-3050-4gb,,,
MSI Vector 16 HX AI A2XWJG Core Ultra 9 275HX RTX 5090,msivector16hxaia2xwjgultra9275hxrtx5090,,,,1575000.0,In Stock,https://www.nanotek.lk/product/msi-vector-16-hx-ai-a2xwjg-core-ultra-9-275hx-rtx-5090,,,
ASUS ZENBOOK 14 UX3405CA Ultra 5 15GEN 1TB 16GB OLED,asuszenbook14ux3405caultra5151tb16gboled,,,,475000.0,In Stock,https://www.nanotek.lk/product/asus-zenbook-14-ux3405ca-ultra-5-15gen-1tb-16gb-oled,,,
