Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL,Nanotek Price,Nanotek Status,Nanotek URL,PCBuilders Price,PCBuilders Status,PCBuilders URL,Winsoft Price,Winsoft Status,Winsoft URL
CORSAIR VENGEANCE 32GB (2x16GB) DDR5 5200MHz Kit,corsairvengeance32gbddr55200kit,,,,119500.0,Out of Stock,https://www.nanotek.lk/product/corsair-vengeance-32gb-2x16gb-ddr5-5200mhz-kit,,,,,,
CORSAIR DOMINATOR TITANIUM RGB 64GB 6400MHZ DDR5 - Intel,corsairdominatortitaniumrgb64gb6400ddr5intel,,,,375000.0,In Stock,https://www.nanotek.lk/product/corsair-dominator-titanium-rgb-64gb-6400mhz-ddr5-intel,,,,,,
TEAM TFORCE DELTA RGB 64GB 6000MHZ DDR5 - INTEL KIT,teamtforcedeltargb64gb6000ddr5intelkit,,,,299500.0,Out of Stock,https://www.nanotek.lk/product/team-tforce-delta-rgb-64gb-6000mhz-ddr5-intel-kit,,,,,,
Adata XPG Gammix 8GB 3200Mhz D35 DDR4,adataxpggammix8gb3200d35ddr4,,,,17500.0,In Stock - Systems only,https://www.nanotek.lk/product/adata-xpg-gammix-8gb-3200mhz-d35-ddr4,,,,,,
ADATA 16GB 3200Mhz DDR4 DESKTOP RAM,adata16gb3200ddr4ram,,,,26500.0,In Stock - Systems only,https://www.nanotek.lk/product/adata-16gb-3200mhz-ddr4-desktop-ram,,,,,,
TEAM TFORCE DELTA RGB 32GB 6000MHZ DDR5 - INTEL KIT,teamtforcedeltargb32gb6000ddr5intelkit,,,,159500.0,In Stock - Systems only,https://www.nanotek.lk/product/team-tforce-delta-rgb-32gb-6000mhz-ddr5-intel-kit,,,,,,
TEAM TFORCE DELTAα RGB 64GB 6000MHZ DDR5 - AMD KIT,teamtforcedeltargb64gb6000ddr5amdkit,,,,299500.0,In Stock - Systems only,https://www.nanotek.lk/product/team-tforce-deltaa-rgb-64gb-6000mhz-ddr5-amd-kit,,,,,,
TEAM T-CREATE EXPERT 48GB 6400Mhz DDR5 KIT,teamtcreateexpert48gb6400ddr5kit,,,,189500.0,In Stock - Systems only,https://www.nanotek.lk/product/team-t-create-expert-48gb-6400mhz-ddr5-kit,,,,,,
TEAM TFORCE DELTA RGB 32GB 5600MHZ DDR5 - INTEL KIT,teamtforcedeltargb32gb5600ddr5intelkit,,,,149500.0,In Stock - Systems only,https://www.nanotek.lk/product/team-tforce-delta-rgb-32gb-5600mhz-ddr5-intel-kit,,,,,,
TEAM TFORCE DELTAα RGB 32GB 5600MHZ DDR5 - AMD KIT,teamtforcedeltargb32gb5600ddr5amdkit,,,,129500.0,Out of Stock,https://www.nanotek.lk/product/team-tforce-deltaa-rgb-32gb-5600mhz-ddr5-amd-kit,,,,,,
TEAM T-Force XTREEM ARGB 32GB 8000MHz DDR5 KIT,teamtforcextreemargb32gb8000ddr5kit,,,,189500.0,In Stock - Systems only,https://www.nanotek.lk/product/team-t-force-xtreem-argb-32gb-8000mhz-ddr5-kit,,,,,,
CORSAIR VENGEANCE DDR5 32GB 5600MHz DDR5 - Intel,corsairvengeanceddr532gb5600ddr5intel,,,,149500.0,Out of Stock,https://www.nanotek.lk/product/corsair-vengeance-ddr5-32gb-5600mhz-ddr5-intel,,,,,,
CORSAIR VENGEANCE DDR5 16GB 5600MHz - Intel,corsairvengeanceddr516gb5600intel,,,,77000.0,In Stock - Systems only,https://www.nanotek.lk/product/corsair-vengeance-ddr5-16gb-5600mhz-intel,,,,,,
TEAM TFORCE VULCAN 16GB 5600MHZ DDR5 - INTEL,teamtforcevulcan16gb5600ddr5intel,,,,77000.0,In Stock - Systems only,https://www.nanotek.lk/product/team-tforce-vulcan-16gb-5600mhz-ddr5-intel,,,,,,
Team TFORCE VULCAN Z 16GB 3200MHZ DDR4,teamtforcevulcanz16gb3200ddr4,,,,28500.0,Out of Stock,https://www.nanotek.lk/product/team-tforce-vulcan-z-16gb-3200mhz-ddr4,,,,,,
CORSAIR VENGEANCE RGB 16GB 5600MHZ DDR5 - Intel,corsairvengeancergb16gb5600ddr5intel,,,,79500.0,In Stock - Systems only,https://www.nanotek.lk/product/corsair-vengeance-rgb-16gb-5600mhz-ddr5-intel,,,,,,
Corsair Vengeance LPX 8GB 3200Mhz DDR4,corsairvengeancelpx8gb3200ddr4,,,,17500.0,In Stock - Systems only,https://www.nanotek.lk/product/corsair-vengeance-lpx-8gb-3200mhz-ddr4,,,,,,
CORSAIR VENGEANCE RGB 32GB 6000MHZ DDR5 - KIT,corsairvengeancergb32gb6000ddr5kit,,,,159500.0,Out of Stock,https://www.nanotek.lk/product/corsair-vengeance-rgb-32gb-6000mhz-ddr5-kit,,,,,,
TEAM TFORCE VULCANα 32GB 5600MHZ DDR5 - AMD,teamtforcevulcan32gb5600ddr5amd,,,,149500.0,In Stock - Systems only,https://www.nanotek.lk/product/team-tforce-vulcana-32gb-5600mhz-ddr5-amd,,,,,,
G.SKILL Ripjaws V 16GB 3200Mhz DDR4,gskillripjawsv16gb3200ddr4,,,,29500.0,Out of Stock,https://www.nanotek.lk/product/gskill-ripjaws-v-16gb-3200mhz-ddr4,,,,,,
TEAM T-Force XTREEM ARGB 32GB 7600MHz DDR5 KIT,teamtforcextreemargb32gb7600ddr5kit,,,,149500.0,Out of Stock,https://www.nanotek.lk/product/team-t-force-xtreem-argb-32gb-7600mhz-ddr5-kit,,,,,,
AXLE 8GB DDR4 3200MHz Desktp RAM (Not Sold Separately),axle8gbddr43200desktpram,,,,,,,,,,16500.0,In Stock,https://www.winsoft.lk/product/axel-8gb-ddr4-3200mhz-desktp-ram/
AXLE 16GB DDR4 3200MHz Desktop RAM  (Not Sold Separately),axle16gbddr43200ram,,,,,,,,,,30000.0,In Stock,https://www.winsoft.lk/product/axel-16gb-ddr4-3200mhz-desktp-ram/
PNY 8GB DDR4 3200MHz Desktop RAM (Not Sold Separately),pny8gbddr43200ram,,,,,,,,,,17500.0,In Stock,https://www.winsoft.lk/product/pny-8gb-ddr4-3200mhz-desktop-ram/
G.SKILL FLARE X5 32GB (16GB×2) DDR5 5600Mhz Ram (Not Sold Separately),gskillflarex532gbddr55600ram,,,,,,,,,,125000.0,In Stock,https://www.winsoft.lk/product/g-skill-flare-x5-32gb-ddr5-5600mhz-ram/
G.SKILL RIPJAWS M5 64GB (32GB×2) RGB DDR5 6000Mhz Ram (Not Sold Separately),gskillripjawsm564gbrgbddr56000ram,,,,,,,,,,289000.0,In Stock,https://www.winsoft.lk/product/g-skill-ripjaws-m5-rgb-ddr5-64gb-ram/
G.SKILL RIPJAWS M5 64GB (32GB×2) RGB DDR5 6400Mhz Ram (Not Sold Separately),gskillripjawsm564gbrgbddr56400ram,,,,,,,,,,295000.0,In Stock,https://www.winsoft.lk/product/g-skill-ripjaws-m5-64gb-rgb-ddr5-6400mhz/
Apacer NOX 32GB (2x16GB) 6000MHz DDR5 Ram (Not Sold Separately),apacernox32gb6000ddr5ram,,,,,,,,,,145000.0,In Stock,https://www.winsoft.lk/product/apacer-nox-32gb-6000mhz-ddr5-ram/
G.SKILL RIPJAWS M5 32GB (16GBx2) RGB DDR5 6000Mhz Ram (Not Sold Separately),gskillripjawsm532gbrgbddr56000ram,,,,,,,,,,160000.0,In Stock,https://www.winsoft.lk/product/g-skill-ripjaws-m5-rgb-ddr5-6000-32gb/
DAHUA 16GB DDR4 3200MHZ DESKTOP RAM (Not Sold Separately),dahua16gbddr43200ram,,,,,,,,,,35000.0,In Stock,https://www.winsoft.lk/product/dahua-16gb-ddr4-3200mhz-ram/
DAHUA 8GB DDR4 3200MHZ DESKTOP RAM (Not Sold Separately),dahua8gbddr43200ram,,,,,,,,,,16500.0,In Stock,https://www.winsoft.lk/product/dahua-8gb-ddr4-3200mhz-desktop-ram/
GMOG 16GB DDR5 5600MHz RGB Desktop RAM (Not Sold Separately),gmog16gbddr55600rgbram,,,,,,,,,,75000.0,In Stock,https://www.winsoft.lk/product/dmog-16gb-ddr5-5600mhz-rgb-ram/
