Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL,Nanotek Price,Nanotek Status,Nanotek URL,Winsoft Price,Winsoft Status,Winsoft URL
"Lenovo Legion 27"" 27Q-10 IPS 1440P 240Hz 99% SRGB",lenovolegion2727q10ips1440p240hz99srgb,,,,69500.0,In Stock,https://www.nanotek.lk/product/lenovo-legion-27-27q-10-ips-1440p-240hz-99-srgb,,,
"Lenovo Legion 27"" 27U-10 IPS 2160P 4K 99% SRGB 160Hz (4K), 320HZ (FHD)",lenovolegion2727u10ips2160p4k99srgb160hz320hz,,,,99000.0,In Stock,https://www.nanotek.lk/product/lenovo-legion-27-27u-10-ips-2160p-4k-99-srgb-160hz-4k-320hz-fhd,,,
"Lenovo Legion 27"" 27Q-11 IPS 1440P 300Hz 99% SRGB",lenovolegion2727q11ips1440p300hz99srgb,,,,74500.0,In Stock,https://www.nanotek.lk/product/lenovo-legion-27-27q-11-ips-1440p-300hz-99-srgb,,,
"Lenovo Legion 27"" 27-10 IPS 1080P 240Hz 99% SRGB",lenovolegion272710ips1080p240hz99srgb,,,,54500.0,In Stock,https://www.nanotek.lk/product/lenovo-legion-27-27-10-ips-1080p-240hz-99-srgb,,,
"Lenovo Legion 25"" 25-10 IPS 1080P 320Hz 99% SRGB",lenovolegion252510ips1080p320hz99srgb,,,,46500.0,In Stock,https://www.nanotek.lk/product/lenovo-legion-25-25-10-ips-1080p-320hz-99-srgb,,,
"Lenovo Legion 24"" 24-10 IPS 1080P 240Hz 99% SRGB",lenovolegion242410ips1080p240hz99srgb,,,,39500.0,In Stock,https://www.nanotek.lk/product/lenovo-legion-24-24-10-ips-1080p-240hz-99-srgb,,,
"LENOVO L27-4C 27"" 144HZ FHD IPS MONITOR",lenovol274c27144hzfhdipsmonitor,,,,45000.0,In Stock,https://www.nanotek.lk/product/lenovo-l27-4c-27-144hz-fhd-ips-monitor,,,
"NORTH BAYOU G80/M9/K7/V8/J7/D9/F7 RGB GAMING SINGLE DESK ARM 32""- 60""",northbayoug80m9k7v8j7d9f7rgbsingledeskarm3260,,,,30500.0,In stock,https://www.nanotek.lk/product/north-bayou-g80m9k7v8j7d9f7-rgb-gaming-single-desk-arm-32-60,,,
"NORTH BAYOU L60/M8/K6/V7/J6/D8/F6 EXPLORER RGB GAMING SINGLE DESK ARM 32""- 60""",northbayoul60m8k6v7j6d8f6explorerrgbsingledeskarm3260,,,,27500.0,In stock,https://www.nanotek.lk/product/north-bayou-l60m8k6v7j6d8f6-explorer-rgb-gaming-single-desk-arm-32-60,,,
"NORTH BAYOU G55 DUAL MONITOR DESK ARM 27""-34""",northbayoug55dualmonitordeskarm2734,,,,30500.0,In stock,https://www.nanotek.lk/product/north-bayou-g55-dual-monitor-desk-arm-27-34,,,
