Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL,Nanotek Price,Nanotek Status,Nanotek URL,PCBuilders Price,PCBuilders Status,PCBuilders URL,Winsoft Price,Winsoft Status,Winsoft URL
ASUS PRIME A620M-K,asusprimea620mk,,,,36500.0,In Stock,https://www.nanotek.lk/product/asus-prime-a620m-k,,,,,,
MSI B840M GAMING PLUS WIFI6E,msib840mpluswifi6e,,,,61500.0,In stock,https://www.nanotek.lk/product/msi-b840m-gaming-plus-wifi6e,,,,,,
ASUS ProArt B760-CREATOR,asusproartb760creator,,,,73000.0,In Stock,https://www.nanotek.lk/product/asus-proart-b760-creator,,,,,,
ASUS PRIME B760M-A WIFI D5,asusprimeb760mawifid5,,,,59500.0,In Stock,https://www.nanotek.lk/product/asus-prime-b760m-a-wifi-d5,,,,,,
ASUS PRIME H510M-K R.20,asusprimeh510mkr20,,,,32500.0,In Stock,https://www.nanotek.lk/product/asus-prime-h510m-k-r20,,,,,,
MSI Pro B760M-A WIFI DDR5,msiprob760mawifiddr5,,,,62000.0,In stock,https://www.nanotek.lk/product/msi-pro-b760m-a-wifi-ddr5,,,,,,
ASUS ROG STRIX X870E-H GAMING WIFI 7,asusrogstrixx870ehwifi7,,,,199500.0,In Stock,https://www.nanotek.lk/product/asus-rog-strix-x870e-h-gaming-wifi-7,,,,,,
MSI B840 GAMING PLUS WIFI,msib840pluswifi,,,,75000.0,In Stock,https://www.nanotek.lk/product/msi-b840-gaming-plus-wifi,,,,,,
MSI PRO A620M-E,msiproa620me,,,,35500.0,In stock,https://www.nanotek.lk/product/msi-pro-a620m-e,,,,,,
MSI H810M GAMING WIFI6E D5,msih810mwifi6ed5,,,,59000.0,In stock,https://www.nanotek.lk/product/msi-h810m-gaming-wifi6e-d5,,,,,,
MSI PRO B760M-P,msiprob760mp,,,,47500.0,In Stock,https://www.nanotek.lk/product/msi-pro-b760m-p-1,,,,,,
MSI X870 GAMING PLUS WIFI,msix870pluswifi,,,,126500.0,In stock,https://www.nanotek.lk/product/msi-x870-gaming-plus-wifi,,,,,,
MSI PRO B760M-E DDR5,msiprob760meddr5,,,,40000.0,In stock,https://www.nanotek.lk/product/msi-pro-b760m-e-ddr5,,,,,,
MSI MAG Z890 TOMAHAWK WIFI,msimagz890tomahawkwifi,,,,152000.0,In Stock,https://www.nanotek.lk/product/msi-mag-z890-tomahawk-wifi,,,,,,
MSI PRO H610M-E DDR4,msiproh610meddr4,,,,30500.0,In Stock,https://www.nanotek.lk/product/msi-pro-h610m-e-ddr4,,,,,,
MSI B860 GAMING PLUS WIFI,msib860pluswifi,,,,86500.0,In Stock,https://www.nanotek.lk/product/msi-b860-gaming-plus-wifi,,,,,,
MSI B650 GAMING PLUS WIFI,msib650pluswifi,,,,66500.0,Out of Stock,https://www.nanotek.lk/product/msi-b650-gaming-plus-wifi,,,,,,
MSI MAG Z790 TOMAHAWK WIFI,msimagz790tomahawkwifi,,,,125000.0,In stock,https://www.nanotek.lk/product/msi-mag-z790-tomahawk-wifi,,,,,,
MSI B850 GAMING PLUS WIFI,msib850pluswifi,,,,93000.0,In Stock,https://www.nanotek.lk/product/msi-b850-gaming-plus-wifi,,,,,,
MSI PRO B650M-P,msiprob650mp,,,,49000.0,In Stock,https://www.nanotek.lk/product/msi-pro-b650m-p,,,,,,
MSI PRO H810M-B D5,msiproh810mbd5,,,,48500.0,In stock,https://www.nanotek.lk/product/msi-pro-h810m-b-d5,,,,,,
Asus TUF GAMING B860-PLUS WIFI,asustufb860pluswifi,,,,94000.0,In Stock,https://www.nanotek.lk/product/asus-tuf-gaming-b860-plus-wifi,,,,,,
MSI PRO B760M-E DDR4,msiprob760meddr4,,,,38000.0,In stock,https://www.nanotek.lk/product/msi-pro-b760m-e-ddr4,,,,,,
MSI PRO H610M-E DDR5,msiproh610meddr5,,,,31500.0,In Stock,https://www.nanotek.lk/product/msi-pro-h610m-e-ddr5,,,,,,
MSI B760 GAMING PLUS WIFI DDR5,msib760pluswifiddr5,,,,68500.0,In Stock,https://www.nanotek.lk/product/msi-b760-gaming-plus-wifi-ddr5,,,,,,
Asus PRIME B860-PLUS WIFI-CSM,asusprimeb860pluswificsm,,,,76500.0,Out of Stock,https://www.nanotek.lk/product/asus-prime-b860-plus-wifi-csm,,,,,,
ASUS ROG STRIX B860-F GAMING WIFI DDR5,asusrogstrixb860fwifiddr5,,,,114000.0,In Stock,https://www.nanotek.lk/product/asus-rog-strix-b860-f-gaming-wifi-ddr5,,,,,,
ASUS ROG STRIX B860-A GAMING WIFI DDR5,asusrogstrixb860awifiddr5,,,,102000.0,In Stock,https://www.nanotek.lk/product/asus-rog-strix-b860-a-gaming-wifi-ddr5,,,,,,
ASUS PRIME H610M-K D4-CSM,asusprimeh610mkd4csm,,,,35000.0,In Stock,https://www.nanotek.lk/product/asus-prime-h610m-k-d4-csm,,,,,,
MSI X870E Gaming Plus WIFI,msix870epluswifi,,,,130000.0,Out of Stock,https://www.nanotek.lk/product/msi-x870e-gaming-plus-wifi,,,,,,
MSI PRO Z790-P WIFI,msiproz790pwifi,,,,89500.0,In stock,https://www.nanotek.lk/product/msi-pro-z790-p-wifi,,,,,,
ASUS TUF B550M-PLUS WIFI II,asustufb550mpluswifiii,,,,74500.0,Out of Stock,https://www.nanotek.lk/product/asus-tuf-b550m-plus-wifi-ii,,,,,,
Asus B860M AYW GAMING WIFI,asusb860maywwifi,,,,69500.0,In stock,https://www.nanotek.lk/product/asus-b860m-ayw-gaming-wifi,,,,,,
