Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL,Nanotek Price,Nanotek Status,Nanotek URL,PCBuilders Price,PCBuilders Status,PCBuilders URL,Winsoft Price,Winsoft Status,Winsoft URL
FANTECH BS153 NERABOX Bluetooth PORTABLE SPEAKER,fantechbs153nerabluetoothportablespeaker,,,,3000.0,In Stock,https://www.nanotek.lk/product/fantech-bs153-nerabox-bluetooth-portable-speaker,,,,,,
FANTECH BS154 NERABOX Bluetooth PORTABLE SPEAKER,fantechbs154nerabluetoothportablespeaker,,,,4000.0,In Stock,https://www.nanotek.lk/product/fantech-bs154-nerabox-bluetooth-portable-speaker,,,,,,
FANTECH WHG06 CARBON PRO Bluetooth HEADSET,fantechwhg06carbonprobluetoothheadset,,,,10500.0,In Stock,https://www.nanotek.lk/product/fantech-whg06-carbon-pro-bluetooth-headset,,,,,,
ONIKUMA B3 RGB WIRELESS HEADPHONE,onikumab3rgbwirelessheadphone,,,,8500.0,In Stock,https://www.nanotek.lk/product/onikuma-b3-rgb-wireless-headphone,,,,,,
ONIKUMA X15 PRO TYPE-C WIRED GAMING HEADSET,onikumax15protypecwiredheadset,,,,7000.0,In Stock,https://www.nanotek.lk/product/onikuma-x15-pro-type-c-wired-gaming-headset,,,,,,
ONIKUMA X80 ABYSSAL MIRROR 3.5 VIRTUAL SURROUND RGB WIRED GAMING HEADSET,onikumax80abyssalmirror35virtualsurroundrgbwiredheadset,,,,6000.0,In Stock,https://www.nanotek.lk/product/onikuma-x80-abyssal-mirror-35-virtual-surround-rgb-wired-gaming-headset,,,,,,
Anker Soundcore R60i NC True Wireless Earbuds,ankersoundr60inctruewirelessearbuds,,,,10000.0,In stock,https://www.nanotek.lk/product/anker-soundcore-r60i-nc-true-wireless-earbuds,,,,,,
Razer Leviathan RGB V2 X Bluetooth 5.0 Gaming Soundbar,razerleviathanrgbv2xbluetooth50soundbar,,,,42000.0,In Stock,https://www.nanotek.lk/product/razer-leviathan-rgb-v2-x-bluetooth-50-gaming-soundbar,,,,,,
ASUS ROG DELTA S CORE GAMING HEADSET,asusrogdeltasheadset,,,,29500.0,In Stock,https://www.nanotek.lk/product/asus-rog-delta-s-core-gaming-headset,,,,,,
ASUS TUF Gaming H1 Wireless Headset,asustufh1wirelessheadset,,,,27500.0,Out of Stock,https://www.nanotek.lk/product/asus-tuf-gaming-h1-wireless-headset,,,,,,
ASUS TUF Gaming H1 Wired Headset Virtual 7.1,asustufh1wiredheadsetvirtual71,,,,14500.0,In Stock,https://www.nanotek.lk/product/asus-tuf-gaming-h1-wired-headset-virtual-71,,,,,,
ASUS TUF GAMING H1 GEN II USB 7.1,asustufh1iiusb71,,,,16500.0,Out of Stock,https://www.nanotek.lk/product/asus-tuf-gaming-h1-gen-ii-usb-71,,,,,,
ASUS ROG Delta S Lightweight Wireless Gaming Headset,asusrogdeltaslightweightwirelessheadset,,,,52000.0,Out of Stock,https://www.nanotek.lk/product/asus-rog-delta-s-lightweight-wireless-gaming-headset,,,,,,
ASUS ROG Delta II Wireless Gaming Headset,asusrogdeltaiiwirelessheadset,,,,75000.0,Out of Stock,https://www.nanotek.lk/product/asus-rog-delta-ii-wireless-gaming-headset,,,,,,
ASUS ROG Pelta Wireless Gaming Headset,asusrogpeltawirelessheadset,,,,49000.0,Out of Stock,https://www.nanotek.lk/product/asus-rog-pelta-wireless-gaming-headset,,,,,,
Logitech Zone 300 Wireless Bluetooth Headset with Noise-Canceling,logitechzone300wirelessbluetoothheadsetnoisecanceling,,,,23500.0,In stock,https://www.nanotek.lk/product/logitech-zone-300-wireless-bluetooth-headset-with-noise-canceling,,,,,,
RAZER BARRACUDA X CHROMA WIRELESS MULTI-PLATFORM GAMING HEADSET,razerbarracudaxchromawirelessmultiplatformheadset,,,,48000.0,In Stock,https://www.nanotek.lk/product/razer-barracuda-x-chroma-wireless-multi-platform-gaming-headset,,,,,,
RAZER BARRACUDA X MULTI-PLATFORM WIRELESS GAMING & MOBILE HEADSET,razerbarracudaxmultiplatformwirelessmobileheadset,,,,37500.0,In Stock,https://www.nanotek.lk/product/razer-barracuda-x-multi-platform-wireless-gaming-mobile-headset,,,,,,
RAZER BLACKSHARK V2 HYPERSPEED WIRELESS HEADSET,razerblacksharkv2hyperspeedwirelessheadset,,,,49500.0,Pre-Order,https://www.nanotek.lk/product/razer-blackshark-v2-hyperspeed-wireless-headset,,,,,,
RAZER BLACKSHARK V2 X GAMING HEADSET,razerblacksharkv2xheadset,,,,16000.0,Out of Stock,https://www.nanotek.lk/product/razer-blackshark-v2-x-gaming-headset-1,,,,,,
RAZER HAMMERHEAD PRO HYPERSPEED WIRELESS BUDS,razerhammerheadprohyperspeedwirelessbuds,,,,69000.0,Pre-Order,https://www.nanotek.lk/product/razer-hammerhead-pro-hyperspeed-wireless-buds,,,,,,
RAZER KAIRA HYPERSPEED PLAYSTATION 5 WIRELESS HEADSET,razerkairahyperspeedplaystation5wirelessheadset,,,,39000.0,Out of Stock,https://www.nanotek.lk/product/razer-kaira-hyperspeed-playstation-5-wireless-headset,,,,,,
RAZER KRAKEN V3 X GAMING HEADSET,razerkrakenv3xheadset,,,,19000.0,In Stock,https://www.nanotek.lk/product/razer-kraken-v3-x-gaming-headset,,,,,,
RAZER LEVIATHAN RGB V2 GAMING 5.2 BLUETOOTH SOUNDBAR WITH SUBWOOFER,razerleviathanrgbv252bluetoothsoundbarsubwoofer,,,,110000.0,In Stock,https://www.nanotek.lk/product/razer-leviathan-rgb-v2-gaming-52-bluetooth-soundbar-with-subwoofer,,,,,,
RAZER NOMMO V2 X BLUETOOTH 5.0 GAMING SPEAKERS,razernommov2xbluetooth50speakers,,,,61000.0,In Stock,https://www.nanotek.lk/product/razer-nommo-v2-x-bluetooth-50-gaming-speakers,,,,,,
RAZER BLACKSHARK V2 X USB GAMING HEADSET,razerblacksharkv2xusbheadset,,,,17000.0,Out of Stock,https://www.nanotek.lk/product/razer-blackshark-v2-x-usb-gaming-headset,,,,,,
ONIKUMA X31 RGB WIRED GAMING HEADSET,onikumax31rgbwiredheadset,,,,7500.0,In Stock,https://www.nanotek.lk/product/onikuma-x31-rgb-wired-gaming-headset,,,,,,
ONIKUMA X7 PRO WIRED RGB GAMING HEADSET,onikumax7prowiredrgbheadset,,,,6000.0,In Stock,https://www.nanotek.lk/product/onikuma-x7-pro-wired-rgb-gaming-headset,,,,,,
ONIKUMA K20 RGB WIRED GAMING HEADSET,onikumak20rgbwiredheadset,,,,6000.0,Out of Stock,https://www.nanotek.lk/product/onikuma-k20-rgb-wired-gaming-headset,,,,,,
Anker Soundcore Select 4 Go Shower Speaker,ankersoundselect4goshowerspeaker,,,,7500.0,Out of Stock,https://www.nanotek.lk/product/anker-soundcore-select-4-go-shower-speaker,,,,,,
