Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL,Nanotek Price,Nanotek Status,Nanotek URL,Winsoft Price,Winsoft Status,Winsoft URL
MSI MAG A550BN 80+ BRONZE,msimaga550bn80bronze,,,,18500.0,In Stock,https://www.nanotek.lk/product/msi-mag-a550bn-80-bronze,,,
MSI MAG A1000GL PCIE5 80+ Gold Fully Modular,msimaga1000glpcie580goldfullymodular,,,,64500.0,In Stock,https://www.nanotek.lk/product/msi-mag-a1000gl-pcie5-80-gold-fully-modular,,,
ASUS ROG THOR 1600W TITANIUM III FULL MODULAR,asusrogthor1600wtitaniumiiifullmodular,,,,289000.0,In Stock,https://www.nanotek.lk/product/asus-rog-thor-1600w-titanium-iii-full-modular,,,
ASUS ROG THOR PLATINUM III 1200W,asusrogthorplatinumiii1200w,,,,165000.0,In Stock,https://www.nanotek.lk/product/asus-rog-thor-platinum-iii-1200w,,,
ASUS PRIME 650W BRONZE,asusprime650wbronze,,,,26000.0,In Stock,https://www.nanotek.lk/product/asus-prime-650w-bronze,,,
ASUS PRIME 750W BRONZE,asusprime750wbronze,,,,28500.0,In Stock,https://www.nanotek.lk/product/asus-prime-750w-bronze,,,
ASUS ROG STRIX 850W PLATINUM,asusrogstrix850wplatinum,,,,78500.0,In stock,https://www.nanotek.lk/product/asus-rog-strix-850w-platinum,,,
"ASUS TUF Gaming 1200W Gold (1200 Watt, ATX 3.0 Fully Modular",asustuf1200wgold1200wattatx30fullymodular,,,,89500.0,In stock,https://www.nanotek.lk/product/asus-tuf-gaming-1200w-gold-1200-watt-atx-30-fully-modular,,,
ASUS ROG-THOR 1000W Platinum II  80+ Platinum Full Modular,asusrogthor1000wplatinumii80platinumfullmodular,,,,129000.0,Out of Stock,https://www.nanotek.lk/product/asus-rog-thor-1000w-platinum-ii-80-platinum-full-modular,,,
ASUS ROG STRIX 1000W 80+ PLATINUM POWER SUPPLY,asusrogstrix1000w80platinumpowersupply,,,,92000.0,In stock,https://www.nanotek.lk/product/asus-rog-strix-1000w-80-platinum-power-supply-1,,,
Asus ROG STRIX 1000W Gold Aura Edition,asusrogstrix1000wgoldaura,,,,99000.0,Out of Stock,https://www.nanotek.lk/product/asus-rog-strix-1000w-gold-aura-edition,,,
ASUS ROG LOKI SFX-L 850W PLATINUM ATX 3.0 QUIET COMPACT FORM FACTOR POWER SUPPLY,asusroglokisfxl850wplatinumatx30quietcompactformfactorpowersupply,,,,73000.0,In Stock,https://www.nanotek.lk/product/asus-rog-loki-sfx-l-850w-platinum-atx-30-quiet-compact-form-factor-power-supply,,,
ASUS TUF 850W 80+ GOLD,asustuf850w80gold,,,,53500.0,Out of Stock,https://www.nanotek.lk/product/asus-tuf-850w-80-gold,,,
CORSAIR CX Series CX650 – 650 Watt 80 PLUS Bronze ATX Power Supply,corsaircxcx650650watt80plusbronzeatxpowersupply,,,,20000.0,In Stock,https://www.nanotek.lk/product/corsair-cx-series-cx650-650-watt-80-plus-bronze-atx-power-supply,,,
PROLINK PRO910ES PROFESSIONAL II SERIES 10KVA ONLINE UPS,prolinkpro910esprofessionalii10kvaonlineups,,,,497000.0,Pre-Order,https://www.nanotek.lk/product/prolink-pro910es-professional-ii-series-10kva-online-ups,,,
MSI MAG A850GL PCIE5 80+ Gold Fully Modular,msimaga850glpcie580goldfullymodular,,,,39500.0,In stock,https://www.nanotek.lk/product/msi-mag-a850gl-pcie5-80-gold-fully-modular,,,
