Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL,Nanotek Price,Nanotek Status,Nanotek URL,PCBuilders Price,PCBuilders Status,PCBuilders URL,Winsoft Price,Winsoft Status,Winsoft URL
"Intel® Core i3-12100F Processor 12M Cache, up to 4.30 GHz",inteli312100f12m430,,,,39000.0,In Stock,https://www.nanotek.lk/product/intel-core-i3-12100f-processor-12m-cache-up-to-430-ghz-1,,,,,,
AMD Ryzen 7 9850X3D Desktop Processor 96M Cache,amdryzen79850x3d96m,,,,182000.0,In Stock,https://www.nanotek.lk/product/amd-ryzen-7-9850x3d-desktop-processor-96m-cache-1,,,,,,
AMD Ryzen™ 7 5700G (up to 4.6Ghz 8-cores 16-threads) 16M Cache,amdryzen75700g16m,,,,62500.0,In Stock,https://www.nanotek.lk/product/amd-ryzen-7-5700g-up-to-46ghz-8-cores-16-threads-16m-cache,,,,,,
AMD Ryzen™ 9 9950X3D (up to 5.7Ghz 16-cores 32-threads) 128M Cache - Tray,amdryzen99950x3d128m,,,,228000.0,Out of Stock,https://www.nanotek.lk/product/amd-ryzen-9-9950x3d-up-to-57ghz-16-cores-32-threads-128m-cache-tray,,,,,,
"Intel® Core™ Ultra 5 Processor 235 (24M Cache, up to 5.00 GHz)",intelultra5235,,,,79500.0,Out of Stock,https://www.nanotek.lk/product/intel-core-ultra-5-processor-235-24m-cache-up-to-500-ghz,,,,,,
AMD Ryzen™ 9 9900X3D (up to 5.5Ghz 12-cores 24-threads) 128M Cache,amdryzen99900x3d128m,,,,218500.0,In Stock,https://www.nanotek.lk/product/amd-ryzen-9-9900x3d-up-to-55ghz-12-cores-24-threads-128m-cache,,,,,,
AMD Ryzen 7 9800X3D (Up to 5.2 GHz 8-Cores 16-Treads ) 96M Cache,amdryzen79800x3d96m,,,,162500.0,In Stock,https://www.nanotek.lk/product/amd-ryzen-7-9800x3d-up-to-52-ghz-8-cores-16-treads-96m-cache,,,,,,
AMD Ryzen 7 7700 (up to 5.3Ghz 8-cores 16-threads) 32M Cache - TRAY,amdryzen7770032m,,,,76500.0,In Stock,https://www.nanotek.lk/product/amd-ryzen-7-7700-up-to-53ghz-8-cores-16-threads-32m-cache-tray,,,,,,
AMD RYZEN 7 8700G (up to 5.1Ghz 8-cores 16-threads) 24M Cache - TRAY,amdryzen78700g24m,,,,85500.0,In Stock,https://www.nanotek.lk/product/amd-ryzen-7-8700g-up-to-51ghz-8-cores-16-threads-24m-cache-tray,,,,,,
AMD RYZEN 5 7500X3D - TRAY,amdryzen57500x3d,,,,84500.0,In Stock,https://www.nanotek.lk/product/amd-ryzen-5-7500x3d-tray,,,,,,
