Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL,Nanotek Price,Nanotek Status,Nanotek URL,PCBuilders Price,PCBuilders Status,PCBuilders URL,Winsoft Price,Winsoft Status,Winsoft URL
SAMSUNG 990 EVO PLUS Gen 5 1TB,samsung990evoplus51tb,,,,57000.0,Out of Stock,https://www.nanotek.lk/product/samsung-990-evo-plus-gen-5-1tb,,,,,,
Seagate IronWolf 7200RPM 256MB 8TB,seagateironwolf7200rpm256mb8tb,,,,94500.0,In Stock,https://www.nanotek.lk/product/seagate-ironwolf-7200rpm-256mb-8tb,,,,,,
SAMSUNG 990 EVO PLUS Gen 5 4TB,samsung990evoplus54tb,,,,135000.0,Out of Stock,https://www.nanotek.lk/product/samsung-990-evo-plus-gen-5-4tb,,,,,,
SAMSUNG 990 PRO PCIe 4.0 NVMe SSD 2TB,samsung990propcie40nvmessd2tb,,,,89000.0,In Stock,https://www.nanotek.lk/product/samsung-990-pro-pcie-40-nvme-ssd-2tb,,,,,,
SAMSUNG 990 PRO PCIe 4.0 NVMe SSD 1TB,samsung990propcie40nvmessd1tb,,,,62000.0,In Stock,https://www.nanotek.lk/product/samsung-990-pro-pcie-40-nvme-ssd-1tb,,,,,,
SAMSUNG 990 EVO PLUS Gen 5 2TB,samsung990evoplus52tb,,,,86000.0,In stock,https://www.nanotek.lk/product/samsung-990-evo-plus-gen-5-2tb,,,,,,
Samsung 9100 PRO NVME PCIe 5.0 2TB,samsung9100pronvmepcie502tb,,,,99500.0,Out of Stock,https://www.nanotek.lk/product/samsung-9100-pro-nvme-pcie-50-2tb,,,,,,
Team T-Force CARDEA Z540 GEN5 1TB,teamtforcecardeaz54051tb,,,,49500.0,Out of Stock,https://www.nanotek.lk/product/team-t-force-cardea-z540-gen5-1tb,,,,,,
Seagate IronWolf 5400RPM 256MB 4TB,seagateironwolf5400rpm256mb4tb,,,,59500.0,Out of Stock,https://www.nanotek.lk/product/seagate-ironwolf-5400rpm-256mb-4tb,,,,,,
MSI Spatium M560 GEN5 NVME 1TB,msispatiumm5605nvme1tb,,,,49500.0,In stock,https://www.nanotek.lk/product/msi-spatium-m560-gen5-nvme-1tb,,,,,,
Addlink S20  SATA SSD 3D NAND 2.5 inch 256GB,addlinks20satassd3dnand25inch256gb,,,,15000.0,In Stock,https://www.nanotek.lk/product/addlink-s20-sata-ssd-3d-nand-25-inch-256gb,,,,,,
