Component Name,Normalized Name,Nanotek Price,Nanotek Status,Nanotek URL
Fantech Finecoustic RESONO WFM1 Dual Mode Condenser Wireless Microphone,fantechfinecousticresonowfm1dualmodecondenserwirelessmicrophone,15000.0,In Stock,https://www.nanotek.lk/product/fantech-finecoustic-resono-wfm1-dual-mode-condenser-wireless-microphone
Fantech Finecoustic SONARA UFM1 USB Condenser Microphone,fantechfinecousticsonaraufm1usbcondensermicrophone,15000.0,In Stock,https://www.nanotek.lk/product/fantech-finecoustic-sonara-ufm1-usb-condenser-microphone
FANTECH WMCX01 LEVIOSA WAVE RGB WIRELESS MICROPHONE,fantechwmcx01leviosawavergbwirelessmicrophone,12000.0,In Stock,https://www.nanotek.lk/product/fantech-wmcx01-leviosa-wave-rgb-wireless-microphone
FANTECH MCX04 LEVIOSA AURA RGB USB MICROPHONE,fantechmcx04leviosaaurargbusbmicrophone,9000.0,In Stock,https://www.nanotek.lk/product/fantech-mcx04-leviosa-aura-rgb-usb-microphone
Logitech MX Brio 4K Ultra HD Webcam,logitechmxbrio4kultrahdwebcam,69500.0,Out of Stock,https://www.nanotek.lk/product/logitech-mx-brio-4k-ultra-hd-webcam
FANTECH SS141 SELFIE STICK,fantechss141selfiestick,4500.0,In Stock,https://www.nanotek.lk/product/fantech-ss141-selfie-stick
FANTECH SS100 SELFIE STICK,fantechss100selfiestick,2500.0,In Stock,https://www.nanotek.lk/product/fantech-ss100-selfie-stick
FANTECH MCX03 LEVIOSA MAX RGB MICROPHONE,fantechmcx03leviosamaxrgbmicrophone,9500.0,In Stock,https://www.nanotek.lk/product/fantech-mcx03-leviosa-max-rgb-microphone
RAZER SEIREN V3 MINI USB CONDENSER MICROPHONE,razerseirenv3miniusbcondensermicrophone,21500.0,In Stock,https://www.nanotek.lk/product/razer-seiren-v3-mini-usb-condenser-microphone
RAZER KIYO X ESSENTIAL STREAMING WEBCAM,razerkiyoxessentialstreamingwebcam,21500.0,In Stock,https://www.nanotek.lk/product/razer-kiyo-x-essential-streaming-webcam
RAZER SEIREN V2 PRO PROFESSIONAL DYNAMIC MICROPHONE,razerseirenv2proprofessionaldynamicmicrophone,60000.0,In Stock,https://www.nanotek.lk/product/razer-seiren-v2-pro-professional-dynamic-microphone
ASUS ROG CARNYX C501 USB GAMING MICROPHONE,asusrogcarnyxc501usbmicrophone,59000.0,In Stock,https://www.nanotek.lk/product/asus-rog-carnyx-c501-usb-gaming-microphone
ASUS Webcam C3 1080p Webcam,asuswebcamc31080pwebcam,21500.0,In Stock,https://www.nanotek.lk/product/asus-webcam-c3-1080p-webcam
DJI OSMO MOBILE SE,djiosmomobilese,24000.0,In Stock,https://www.nanotek.lk/product/dji-osmo-mobile-se
DJI OSMO MOBILE 7P,djiosmomobile7p,45000.0,In Stock,https://www.nanotek.lk/product/dji-osmo-mobile-7p
DJI OSMO MOBILE 7 SERIES,djiosmomobile7,34000.0,In Stock,https://www.nanotek.lk/product/dji-osmo-mobile-7-series
Logitech C920 HD PRO WEBCAM,logitechc920hdprowebcam,28000.0,Out of Stock,https://www.nanotek.lk/product/logitech-c920-hd-pro-webcam
UGREEN LP661 Professional Tripod for Phone & Camera  - 15187,ugreenlp661professionaltripodforphonecamera15187,11500.0,In Stock,https://www.nanotek.lk/product/ugreen-lp661-professional-tripod-for-phone-camera-15187
LOGITECH BRIO 300 USB-C FULL HD WEBCAM,logitechbrio300usbcfullhdwebcam,23500.0,In stock,https://www.nanotek.lk/product/logitech-brio-300-usb-c-full-hd-webcam
Logitech Brio 100 1080P WEBCAM,logitechbrio1001080pwebcam,10500.0,In Stock,https://www.nanotek.lk/product/logitech-brio-100-1080p-webcam
Elgato Wave Neo USB Condenser Microphone,elgatowaveneousbcondensermicrophone,31500.0,In Stock,https://www.nanotek.lk/product/elgato-wave-neo-usb-condenser-microphone
Elgato Wave 3 USB Condenser Microphone,elgatowave3usbcondensermicrophone,58500.0,In Stock,https://www.nanotek.lk/product/elgato-wave-3-usb-condenser-microphone
